CBF,In,Out,Nº,Clube
541741,00:00 - 1T,45:00 - 2T,1,Tubarão/SC
461649,00:00 - 1T,45:00 - 2T,1,Novorizontino/SP
340073,00:00 - 1T,43:00 - 2T,2,Tubarão/SC
447189,00:00 - 1T,26:00 - 2T,2,Novorizontino/SP
449113,00:00 - 1T,45:00 - 2T,3,Tubarão/SC
452276,00:00 - 1T,45:00 - 2T,3,Novorizontino/SP
554076,00:00 - 1T,45:00 - 2T,4,Tubarão/SC
166943,00:00 - 1T,45:00 - 2T,4,Novorizontino/SP
380164,00:00 - 1T,45:00 - 2T,5,Tubarão/SC
387277,00:00 - 1T,45:00 - 2T,5,Novorizontino/SP
611481,00:00 - 1T,29:00 - 2T,6,Tubarão/SC
405127,00:00 - 1T,45:00 - 2T,6,Novorizontino/SP
587152,00:00 - 1T,45:00 - 2T,7,Tubarão/SC
180826,00:00 - 1T,15:00 - 2T,7,Novorizontino/SP
349181,00:00 - 1T,43:00 - 2T,8,Tubarão/SC
330362,00:00 - 1T,31:00 - 2T,8,Novorizontino/SP
389660,00:00 - 1T,45:00 - 2T,9,Tubarão/SC
336063,00:00 - 1T,15:00 - 2T,9,Novorizontino/SP
510109,00:00 - 1T,13:00 - 2T,10,Tubarão/SC
184176,00:00 - 1T,45:00 - 2T,10,Novorizontino/SP
334633,00:00 - 1T,29:00 - 2T,11,Tubarão/SC
335362,00:00 - 1T,INT,11,Novorizontino/SP
404815,INT,45:00 - 2T,16,Novorizontino/SP
433212,13:00 - 2T,45:00 - 2T,17,Tubarão/SC
536377,15:00 - 2T,45:00 - 2T,18,Novorizontino/SP
411295,15:00 - 2T,45:00 - 2T,19,Novorizontino/SP
352632,26:00 - 2T,45:00 - 2T,13,Novorizontino/SP
514953,29:00 - 2T,45:00 - 2T,18,Tubarão/SC
528916,29:00 - 2T,45:00 - 2T,13,Tubarão/SC
291874,31:00 - 2T,45:00 - 2T,15,Novorizontino/SP
588260,43:00 - 2T,45:00 - 2T,16,Tubarão/SC
526921,43:00 - 2T,45:00 - 2T,14,Tubarão/SC
