CBF,In,Out,Nº,Clube
184393,00:00 - 1T,22:00 - 1T,1,Crb/AL
155703,00:00 - 1T,45:00 - 2T,1,Goiás/GO
343392,00:00 - 1T,45:00 - 2T,2,Crb/AL
346994,00:00 - 1T,45:00 - 2T,2,Goiás/GO
180751,00:00 - 1T,45:00 - 2T,3,Crb/AL
306551,00:00 - 1T,45:00 - 2T,3,Goiás/GO
165391,00:00 - 1T,+5:00 - 1T,4,Crb/AL
178500,00:00 - 1T,45:00 - 2T,4,Goiás/GO
178674,00:00 - 1T,45:00 - 2T,5,Crb/AL
334881,00:00 - 1T,INT,5,Goiás/GO
161603,00:00 - 1T,45:00 - 2T,6,Crb/AL
182684,00:00 - 1T,45:00 - 2T,6,Goiás/GO
409509,00:00 - 1T,45:00 - 2T,7,Crb/AL
408134,00:00 - 1T,39:00 - 2T,7,Goiás/GO
159393,00:00 - 1T,45:00 - 2T,8,Crb/AL
150731,00:00 - 1T,45:00 - 2T,8,Goiás/GO
148961,00:00 - 1T,45:00 - 2T,9,Crb/AL
181681,00:00 - 1T,45:00 - 2T,9,Goiás/GO
147495,00:00 - 1T,45:00 - 2T,10,Crb/AL
352625,00:00 - 1T,26:00 - 2T,11,Goiás/GO
321011,00:00 - 1T,28:00 - 2T,11,Crb/AL
136729,00:00 - 1T,45:00 - 2T,27,Goiás/GO
172203,+5:00 - 1T,45:00 - 2T,13,Crb/AL
309723,INT,45:00 - 2T,18,Goiás/GO
132047,22:00 - 1T,45:00 - 2T,12,Crb/AL
315585,26:00 - 2T,45:00 - 2T,15,Goiás/GO
168641,28:00 - 2T,45:00 - 2T,19,Crb/AL
304816,39:00 - 2T,45:00 - 2T,20,Goiás/GO
