CBF,In,Out,Nº,Clube
172028,00:00 - 1T,45:00 - 2T,1,Tombense/MG
293383,00:00 - 1T,45:00 - 2T,1,Ituano/SP
404381,00:00 - 1T,45:00 - 2T,2,Tombense/MG
310646,00:00 - 1T,45:00 - 2T,2,Ituano/SP
350930,00:00 - 1T,45:00 - 2T,3,Tombense/MG
378323,00:00 - 1T,45:00 - 2T,3,Ituano/SP
184174,00:00 - 1T,45:00 - 2T,4,Tombense/MG
328820,00:00 - 1T,45:00 - 2T,4,Ituano/SP
374917,00:00 - 1T,38:00 - 2T,5,Tombense/MG
622068,00:00 - 1T,45:00 - 2T,5,Ituano/SP
448273,00:00 - 1T,45:00 - 2T,6,Tombense/MG
335286,00:00 - 1T,45:00 - 2T,6,Ituano/SP
412454,00:00 - 1T,25:00 - 2T,7,Tombense/MG
359493,00:00 - 1T,23:00 - 2T,7,Ituano/SP
182621,00:00 - 1T,18:00 - 2T,8,Tombense/MG
305811,00:00 - 1T,45:00 - 2T,8,Ituano/SP
310961,00:00 - 1T,45:00 - 2T,9,Tombense/MG
184899,00:00 - 1T,30:00 - 2T,9,Ituano/SP
308283,00:00 - 1T,45:00 - 2T,10,Tombense/MG
147495,00:00 - 1T,45:00 - 2T,10,Ituano/SP
415027,00:00 - 1T,25:00 - 2T,11,Tombense/MG
338498,00:00 - 1T,23:00 - 2T,11,Ituano/SP
302774,18:00 - 2T,45:00 - 2T,15,Tombense/MG
337472,23:00 - 2T,45:00 - 2T,17,Ituano/SP
415195,23:00 - 2T,45:00 - 2T,13,Ituano/SP
339594,25:00 - 2T,45:00 - 2T,22,Tombense/MG
324735,25:00 - 2T,45:00 - 2T,17,Tombense/MG
442914,30:00 - 2T,45:00 - 2T,19,Ituano/SP
398807,38:00 - 2T,45:00 - 2T,18,Tombense/MG
